equipe,elo_pre,elo_post,delta
Espagne,2198,2238,40
Argentine,2168,2193,24
France,2161,2120,-40
Angleterre,2103,2079,-24
Colombie,2013,2013,0
Pays-Bas,2004,2004,0
Brésil,1992,1992,0
Portugal,1985,1985,0
Maroc,1941,1941,0
Belgique,1918,1918,0
Norvège,1914,1914,0
Japon,1908,1908,0
Allemagne,1904,1904,0
Croatie,1902,1902,0
Suisse,1898,1898,0
Mexique,1871,1871,0
Uruguay,1847,1847,0
Sénégal,1812,1812,0
Équateur,1789,1789,0
Autriche,1784,1784,0
États-Unis,1780,1780,0
Côte d'Ivoire,1778,1778,0
Suède,1772,1772,0
Iran,1769,1769,0
Paraguay,1761,1761,0
Turquie,1760,1760,0
Algérie,1751,1751,0
Australie,1739,1739,0
RD Congo,1726,1726,0
Ghana,1717,1717,0
Écosse,1716,1716,0
Canada,1708,1708,0
Corée du Sud,1707,1707,0
Égypte,1706,1706,0
Tchéquie,1649,1649,0
Arabie saoudite,1642,1642,0
Bosnie-Herzégovine,1636,1636,0
Cap-Vert,1626,1626,0
Tunisie,1603,1603,0
Panama,1599,1599,0
Afrique du Sud,1585,1585,0
Ouzbékistan,1576,1576,0
Irak,1550,1550,0
Haïti,1536,1536,0
Jordanie,1530,1530,0
Qatar,1522,1522,0
Curaçao,1494,1494,0
Nouvelle-Zélande,1480,1480,0
